Site number,Site Info / Location,GPS coordinates ,Altitude,Isolate Name,Code,ID ITS
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 1a,MO001,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Ulnus 3b,MO002,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 1c2,MO003,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Malus 1,MO004,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 1a,MO005,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 9b,MO006,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 8b,MO007,P. lacustris (mixed culture)
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 9,MO008,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 3,MO009,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Prunus 2c,MO010,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 3b1,MO011,P. gonapodyides
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 1c1,MO012,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Alder 1,MO013,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 1b,MO014,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Prunus 2a,MO015,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 8a,MO016,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer platanoides 2a,MO017,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer,MO018,Phy. litorale
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Prunus 2b,MO019,Phy. sp (mixed culture)
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 4 contaminated/lost,MO020,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 3b2,MO021,Phy. litorale
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer platanoides 2b,MO022,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer platanoides 1,MO023,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Prunus 1 mix?,MO024,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 3a,MO025,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 1b,MO026,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 8a,MO027,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 6MO26,MO028,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 5,MO029,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer platanoides 2c,MO030,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Prunus 1 mix?,MO031,P. lacustris
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 6a,MO032,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Robinia 6b,MO033,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 2a,MO034,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 2b,MO035,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer campestre 2c,MO036,
R01,Katerina-Sebrov,"49°19'48.21""N  16°36'19.36""E",326,R01 Acer 4,MO037,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 2b1,MO038,N. sp. caduca-like2
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder3,MO039,P. syringae
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 7,MO040,N. sp. caduca-like2
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Corylus 5a,MO041,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Carpinus 2a2,MO042,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 1b4,MO043,P. lacustris
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Ulmus 4a1,MO044,P. lacustris
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Carpinus 2a3,MO045,P. bilorbang
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Fraxinus 2,MO046,Ha. fluviatilis
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Carpinus 2a1,MO047,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 2a2,MO048,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Corylus 4a,MO049,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 6a1,MO050,P. gonapodyides (mixed culture)
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 6a2,MO051,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 5a1,MO052,P. lacustris
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alnus 7,MO053,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Corylus 1b,MO054,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 4a1,MO055,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 3b1,MO056,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Fraxinus 5Tip2 mix?,MO057,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 6a1 mix?,MO058,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Fraxinus 5a1 corner2,MO059,P. lacustris
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 1b2,MO060,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 2a2,MO061,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Fraxinus 6a1,MO062,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alnus 7b2,MO063,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Ulmus 5,MO064,P. gonapodyides
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 5a4,MO065,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Acer 4a1,MO066,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Alder 5a5,MO067,
R02,Skalni mlyn,"49°21'51.17""N  16°42'13.10""E",341,R02 Fraxinus 5a1 corner1,MO068,P. gonapodyides
